policy,tier,delivery_success_rate,route_efficiency,battery_remaining,fleet_throughput
Q-Learning,easy,0.8352941176470587,1.0193378178487609,79.93346660593141,4.176470588235294
Q-Learning,medium,0.5484848484848486,0.8089126370006213,64.4495291791577,5.484848484848484
Q-Learning,hard,0.15606060606060607,0.43077496827983686,42.31315474981579,3.121212121212121
Greedy,easy,0.8294117647058823,1.0001401361889377,85.79046963373241,4.147058823529412
Greedy,medium,0.6787878787878787,0.9613483141127241,67.49684933001099,6.787878787878788
Greedy,hard,0.6606060606060606,0.9955599497468286,48.69204383158602,13.212121212121213
Random,easy,0.19999999999999998,0.11218775232239264,75.23183061791394,1.0
Random,medium,0.06363636363636364,0.0312825182085845,47.12610842319467,0.6363636363636364
Random,hard,0.013636363636363637,0.009984077422634796,17.670704466667306,0.2727272727272727
